id,name,created_at,status,total_amount,discount_amount,discount_percentage,merchant_network_id,merchant_category
22,Beyond purchase,2022-11-15T00:00:00,pending,81500,0,,YVTE9ROHBUDVIB8,commercial_photography_art_and_graphics
39,revel ride,2022-11-15T00:00:00,pending,5705,1141,20,BQTMSBEXTZE3BHX,car_rental_agencies
90,Beyond purchase,2022-11-15T00:00:00,pending,81500,0,,YVTE9ROHBUDVIB8,commercial_photography_art_and_graphics
234,riide leasing,2022-11-15T00:00:00,pending,9900,990,10,000445442516990,bicycle_shops
385,Unagi,2022-11-15T00:00:00,pending,99000,24750,25,EBKBZTSFL6OIFYQ,transportation_services
4,revel rideshare,2022-11-14T00:00:00,pending,5651,0,,BQTMSBEXTZE3BHX,car_rental_agencies
166,Beyond leasing,2022-11-14T00:00:00,pending,6900,0,,YVTE9ROHBUDVIB8,commercial_photography_art_and_graphics
176,lyft ride,2022-11-14T00:00:00,pending,2266,339,15,ML8VGZKUUFD4FEM,taxicabs_limousines
144,Ridepanda lease,2022-11-13T00:00:00,pending,7900,0,,FI9OE226R0ZHOO7,bicycle_shops
151,Bird buy,2022-11-13T00:00:00,pending,69900,6990,10,000445266622999,miscellaneous_recreation_services
242,Bird buy,2022-11-13T00:00:00,pending,69900,6990,10,000445266622999,miscellaneous_recreation_services
492,Beyond leasing,2022-11-13T00:00:00,pending,6900,0,,YVTE9ROHBUDVIB8,commercial_photography_art_and_graphics
104,revel ride,2022-11-12T00:00:00,pending,1345,269,20,BQTMSBEXTZE3BHX,car_rental_agencies
173,Beyond leasing,2022-11-12T00:00:00,pending,6900,0,,YVTE9ROHBUDVIB8,commercial_photography_art_and_graphics
225,riide leasing,2022-11-11T00:00:00,pending,9900,990,10,000445442516990,bicycle_shops
281,lyft ride,2022-11-11T00:00:00,pending,1428,214,15,ML8VGZKUUFD4FEM,taxicabs_limousines
355,Ridepanda lease,2022-11-11T00:00:00,posted,7900,0,,FI9OE226R0ZHOO7,bicycle_shops
401,Unagi,2022-11-11T00:00:00,posted,99000,24750,25,EBKBZTSFL6OIFYQ,transportation_services
268,bird ride,2022-11-10T00:00:00,posted,3240,162,5,7DHYXCKLJMBSZOD,miscellaneous_recreation_services
327,Beyond purchase,2022-11-10T00:00:00,posted,81500,0,,YVTE9ROHBUDVIB8,commercial_photography_art_and_graphics
